pm1,pm2_5,pm10
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
6,8,9
6,8,9
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
4,6,6
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
5,7,7
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
7,9,10
7,9,10
7,9,10
7,9,10
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,11,12
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
8,10,11
7,9,10
7,9,10
7,9,10
8,10,11
8,10,11
8,10,11
8,10,11
8,11,12
8,11,12
8,10,11
8,10,11
8,10,11
8,11,12
8,11,12
8,11,12
8,11,12
8,11,13
8,11,14
8,11,15
8,11,15
9,12,16
9,12,16
9,12,17
9,12,16
10,13,17
10,13,17
10,13,17
10,13,16
9,12,15
9,12,15
9,12,14
9,12,14
9,12,14
9,12,13
9,12,13
9,12,13
9,12,13
9,12,13
